,path,file_name,file_size_Mb,last_access,last_modified,created_on
Cell culture,E:\mk_lab_data\SHRUTI,Cell culture,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Cell enumeration-DAPI-Rutvi-Shruti,E:\mk_lab_data\SHRUTI,Cell enumeration-DAPI-Rutvi-Shruti,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Cell proliferation-Ki67,E:\mk_lab_data\SHRUTI,Cell proliferation-Ki67,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
Cell proliferation-WST,E:\mk_lab_data\SHRUTI,Cell proliferation-WST,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
EVOS,E:\mk_lab_data\SHRUTI,EVOS,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Fiji.app,E:\mk_lab_data\SHRUTI,Fiji.app,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
HER2+ cell lines growth conditions and characteristics,E:\mk_lab_data\SHRUTI,HER2+ cell lines growth conditions and characteristics,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Lab Meet ppts and Refs,E:\mk_lab_data\SHRUTI,Lab Meet ppts and Refs,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
RNA-cDNA-qPCRs,E:\mk_lab_data\SHRUTI,RNA-cDNA-qPCRs,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
SB- Dissertation Report,E:\mk_lab_data\SHRUTI,SB- Dissertation Report,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Stocks lists,E:\mk_lab_data\SHRUTI,Stocks lists,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
Thumbs.db,E:\mk_lab_data\SHRUTI\Western Blots\Shruti_20190619_WB-AR-shCp4-shY-p5-HER2shC-shY-p11\Shruti_20190622-GFP,Thumbs.db,11.776,26 Jun 2019,21 Sep 2020,21 Sep 2020
Western Blots,E:\mk_lab_data\SHRUTI,Western Blots,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
04.04.2019- BOX2 cell line stock list.docx,E:\mk_lab_data\SHRUTI\Stocks lists,04.04.2019- BOX2 cell line stock list.docx,15.896,04 Apr 2019,21 Sep 2020,21 Sep 2020
20190324-Updated cell culture duty list.docx,E:\mk_lab_data\SHRUTI\Cell culture,20190324-Updated cell culture duty list.docx,16.406,24 Mar 2019,21 Sep 2020,21 Sep 2020
20190620 Minus 80 Deg List,E:\mk_lab_data\SHRUTI\Stocks lists,20190620 Minus 80 Deg List,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
Protocols,E:\mk_lab_data\SHRUTI\Cell culture,Protocols,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
Retroviral Transduction protocol,E:\mk_lab_data\SHRUTI\Cell culture,Retroviral Transduction protocol,0.0,21 Sep 2020,26 Sep 2020,21 Sep 2020
TRIZOLRNAIsolation.pdf,E:\mk_lab_data\SHRUTI\Cell culture,TRIZOLRNAIsolation.pdf,50.224,22 May 2019,21 Sep 2020,21 Sep 2020
2019019 Amended_-80 deg_contents Only SB cells.xlsx,E:\mk_lab_data\SHRUTI\Stocks lists\20190620 Minus 80 Deg List,2019019 Amended_-80 deg_contents Only SB cells.xlsx,27.37,19 Jun 2019,21 Sep 2020,21 Sep 2020
